,name,address,review_count,rating,price,categories,latitude,longitude,yelp_id,hours,name_input,address_input,city_input
14,Salad Farm,,167.0,3.0,$$,"Sandwiches, Salad, Fast Food",34.048318,34.048318,llIYK2iVqPoNUp83bnGUnw,,SALADFARM,11047 SANTA MONICA BLVD,LOS ANGELES
15,Juice Served Here,,32.0,4.5,$$,"Juice Bars & Smoothies, Coffee & Tea, Vegan",34.02144,34.02144,aI60NGF7WDJO9KrmxgQQYA,,JUICE SERVED HERE,631 WILSHIRE BLVD # B,SANTA MONICA
16,The Boutique Spa at The Ritz-Carlton,,3.0,3.0,$$$$,Day Spas,33.9843483,33.9843483,lNFKvuISPSJo-SwQXWEpPg,,THE RITZ BAR JERNE,4375 ADMIRALTY WAY,MARINA DEL REY
17,Cemitas Poblanas Don Adrian,,190.0,4.0,$,Mexican,34.186284,34.186284,fShB2P8CeuAi5VbVPAi-4A,,CEMITAS POBLANAS DON ADRIAN,14902 VICTORY BLVD,VAN NUYS
18,Anejo Cantina and Grill,,1954.0,4.0,$$,"Mexican, Cocktail Bars",34.1522029934436,34.1522029934436,6lyATTyAjD45AM_bGiI2jQ,,ANEJO CANTINA AND GRILL,14755 VENTURA BLVD STE C&D,SHERMAN OAKS
19,,,,,,,,,,,GLOBAL CUISINE,3315 N CAHUENGA WEST BLVD,LOS ANGELES
20,Burger Lounge,,422.0,4.0,$$,Burgers,34.05287,34.05287,zKnkaViDqtoN1uZ_rUVy8A,,BURGER LOUNGE,11740 SAN VINCENTE BLVD #102,LOS ANGELES
21,Antigua Bread,,437.0,4.0,$,"Coffee & Tea, Bakeries, Breakfast & Brunch",34.10994,34.10994,I-GVl64j9VUbuJJhcjAJ2A,,ANTIGUA BREAD,5703 N FIGUEROA ST,LOS ANGELES
22,Asahi Ramen,,663.0,3.5,$,Ramen,34.040196,34.040196,CDMLO4R8rBrBGwbgyR-12g,,ASAHI RAMEN,2027 SAWTELLE BLVD,LOS ANGELES
23,The Must,,434.0,4.0,$$,"American (New), Wine Bars",34.047149,34.047149,CD0ZxUasMSNinDiZkEE7rQ,,THE MUST,117 WINSTON ST # 101,LOS ANGELES
24,Tsukiji Sushi Sen,,321.0,4.0,$$,Sushi Bars,33.9992561340332,33.9992561340332,jG1DYZdKSQGnwpmVr9m7tg,,TSUKIJI SUSHI SEN,2915 MAIN ST,SANTA MONICA
25,Rita's Italian Ice,,52.0,4.5,$,"Desserts, Shaved Ice, Ice Cream & Frozen Yogurt",34.3872109471869,34.3872109471869,rEWcWctccBy7RSKReojmUw,,RITA'S ICE-CUSTARD-HAPPINESS,25802 HEMINGWAY AVE # 100,STEVENSON RANCH
26,Billiards Corner,,32.0,4.5,$,"Pool Halls, Bars, American (Traditional)",34.1331559,34.1331559,GumESvAbddb2VwhwGuGLtg,,BILLIARDS CORNER,1111 S CENTRAL AVE,GLENDALE
27,Hungry Boy Burgers,,131.0,2.5,$,"Burgers, Sandwiches",33.93497,33.93497,FjMM_hJ-G6KHeyz3cbL8CA,,HUNGRY BOY BURGER,10810 S NORWALK BLVD,SANTA FE SPRINGS
28,,,,,,,,,,,LAS PALMAS SENIOR CITIZENS C,1820 N LAS PALMAS AVE,LOS ANGELES
29,Affair With My Plate,,233.0,4.5,$$,"Pizza, Modern European",34.0481,34.0481,GLMqlLkJHSpaVWJujSQ2bw,,AFFAIR WITH MY PLATE,11819 WILSHIRE BLVD # 103,LOS ANGELES
30,Jack in the Box,,85.0,2.5,$,"Burgers, Fast Food, Tacos",34.0647558,34.0647558,JEdAusXDHhlHTRHt58TtBQ,,JACK IN THE BOX #3378,516 N BEAUDRY AVE,LOS ANGELES
31,Superior Grocers,,19.0,2.0,$$,"Grocery, Bakeries, Meat Shops",33.9433153,33.9433153,yEAjU4Lkb3zy-af6YjwWeQ,,SUPERIOR SUPER WHSE BAKERY,10211 S AVALON BLVD,LOS ANGELES
32,,,,,,,,,,,TAQUERIA Y PUPUSERIA CORP,1917 S VERMONT AVE,LOS ANGELES
33,La Mexicana Market,,7.0,3.5,$,"Grocery, Food Stands, Mexican",33.9165649,33.9165649,7mXSpesZQCOWqNAlFwljiA,,LA MEXICANA MARKET & MEAT DEPT,1261 W EL SEGUNDO BLVD,GARDENA
34,Mother's Nutritional Centers,,5.0,3.5,$$,"Health Markets, Grocery",33.97304,33.97304,9fBqfP3kErDzO4bo3BWDtQ,,MOTHERS NUTRITIONAL CTR #405,6501 GARFIELD AVE # #C,BELL GARDENS
35,J's Liquor,,6.0,4.0,$,"Beer, Wine & Spirits",33.8730549,33.8730549,_3Iad8QO-78E2VEjxSFtzA,,J'S LIQUOR,3133 ARTESIA BLVD,TORRANCE
36,Little Wang Kung,,73.0,4.0,$,"Chinese, Seafood, Soup",34.0601856826038,34.0601856826038,Tp-_MRF7EY64ryE-_jUFFQ,,LITTLE WANG KUNG,691 S HOOVER ST,LOS ANGELES
37,,,,,,,,,,,FOXYS LANDING,4555 W AVENUE G STE #22,LANCASTER
38,King Taco,,324.0,3.0,$,Mexican,34.0624542236328,34.0624542236328,mKEu5smUWQbOHgYQ-49tdg,,KING TACO II,10420 GARVEY AVE,SOUTH EL MONTE
39,Seafood City Supermarket,,95.0,3.5,$$,"Seafood Markets, Filipino, International Grocery",34.220268,34.220268,jlqb4_oWkvn2wXaYqJNAug,,SEAFOOD CITY-MEAT,8231 WOODMAN AVE,PANORAMA CITY
40,Olympic Coffee Shop,,60.0,4.0,$,"Coffee & Tea, Breakfast & Brunch, Cafes",34.29182,34.29182,i0O3aSrfiWAPljKq3WKrNQ,,OLYMPIC COFFEE SHOP,12192 SAN FERNANDO RD,SYLMAR
41,One Stop Bakery,,155.0,4.5,$,"Bakeries, Cupcakes, Donuts",34.6615026680515,34.6615026680515,t7TMfK3F3Or471kxBru9UA,,ONE STOP BAKERY,4079 W AVENUE L,LANCASTER
42,Luis Meat Market,,9.0,4.0,$,Meat Shops,34.006293,34.006293,0ehbQLBCihtxxMphrt-3tQ,,"J LUIS MARKET, INC.",4253 S VERMONT AVE,LOS ANGELES
43,,,,,,,,,,,HUGHES RESEARCH LAB,3011 MALIBU CANYON RD # 100,MALIBU
44,J's Kitchen,,22.0,3.0,$$,Vegan,33.9914035052061,33.9914035052061,yDBSBAL6TFPbyvKgzDSLgg,,BOOST KITCHEN/PREP KITCHEN,1239 ABBOT KINNEY BLVD,VENICE
45,,,,,,,,,,,MARGARITA'S MEXICAN FOOD,15257 GALE AVE,INDUSTRY
46,Shanghai Yau Fat,,144.0,3.5,$$,Chinese,34.077652,34.077652,08FnpUrVtm3gNwOB-pfOHw,,SHANGHAI YAU FAT RESTAURANT,1721 W VALLEY BLVD,ALHAMBRA
47,Ten Ren's Tea Time,,471.0,3.5,$,"Coffee & Tea, Chinese, Hot Pot",34.0279335,34.0279335,oIu4gHXo-ea4hhDBnB7_Gg,,TEN REN'S TEA TIME,515 N GRAND AVE STE F,WALNUT
48,Sweet Rose Creamery,,1093.0,4.0,$$,Ice Cream & Frozen Yogurt,34.0473775554415,34.0473775554415,wItLFNgqfTWFmWG_Uxujag,,SWEET ROSE CREAMERY,225 26TH ST # #51,SANTA MONICA
49,,,,,,,,,,,LA UNION,4634 E GAGE AVE,BELL
50,Tujunga Shell,,23.0,4.0,,"Gas Stations, Smog Check Stations",34.2561151,34.2561151,1YJLwa_zcMsqQuWVbk1zjg,,TUJUNGA SHELL,7671 FOOTHILL BLVD,TUJUNGA
51,Louisiana Famous Fried Chicken,,6.0,3.0,,Chicken Wings,33.93867,33.93867,yGjCVrjc6_pS2zy43Zppkw,,CHINA BOWL EXPRESS FRIED CHICKEN,10714 S WESTERN AVE # 107,LOS ANGELES
52,Canal Club,,280.0,3.5,$$,"Sushi Bars, Bars, Japanese",33.9850592,33.9850592,SAF1VnKzZehMG5axfxpkBQ,,CANAL CLUB,2025 PACIFIC AVE,VENICE
53,24 Hour Fitness - Beverly Hills,,360.0,2.0,,"Gyms, Trainers",34.0533705456282,34.0533705456282,1F5cI_lUKfAPwhH3mbsJvg,,24 HOUR FITNESS,9911 W PICO BLVD # A,LOS ANGELES
54,,,,,,,,,,,WILL'S JR MARKET,1060 E HYDE PARK BLVD,INGLEWOOD
55,Cricca's Italian Deli & Subs,,693.0,4.5,$$,"Delis, Sandwiches, Italian",34.1564517,34.1564517,lH5bWUN4gViQ2JSXl6lq_w,,CRICCA'S ITALIAN DELI & SUBS,4876 TOPANGA CANYON BLVD,WOODLAND HILLS
56,Chevron Station,,11.0,3.0,,Gas Stations,34.154125,34.154125,AMVDEZbocwR4wfcJhiJn2w,,CHEVRON,24101 VENTURA BLVD,CALABASAS
57,El Sol Restaurant,,22.0,4.5,$,Mexican,34.0750167,34.0750167,Jc-mJ8HAAwbAfRTpPrKyBQ,,EL SOL RESTAURANTE,12010 RAMONA BLVD STE 11,EL MONTE
58,,,,,,,,,,,THE CABANA INN,7110 ATLANTIC AVE,BELL
59,Mr. Chopsticks Seafood Restaurant,,182.0,3.5,$,Chinese,34.0914802164324,34.0914802164324,rMI3kKwAwGZT2egwLUniNA,,MR CHOPSTICKS,10990 LOWER AZUSA RD STE 10,EL MONTE
60,Cousins Burgers,,150.0,4.0,$,Burgers,34.414923,34.414923,n6HUhZpyR4sTzmrT2OSD-A,,COUSINS BURGERS,19318 SOLEDAD CANYON RD,CANYON COUNTRY
61,Han Kook Soondae,,27.0,4.0,$$,Korean,34.0587120056152,34.0587120056152,M7sIR7-u4NRPxU8-2ZzFDg,,HAN KOOK SOON DAE,730 S WESTERN AVE STE #111,LOS ANGELES
62,Chin's Hawaiian Teriyaki Bbq Chicken,,75.0,4.0,$,"Barbeque, Chicken Wings",34.0421867,34.0421867,9RB_-5aXR9HMdrpcA6L5WQ,,CHIN'S TERIYAKI BBQ CHICKEN,1708 S WESTERN AVE,LOS ANGELES
63,Food 4 Less,,50.0,3.5,$,Grocery,34.0415781,34.0415781,vvd54k2bq34GiRJ10AKZUw,,FOOD 4 LESS #363 - BAKERY,2750 E 1ST ST,LOS ANGELES
64,Tea Bar,,145.0,4.0,$,"Taiwanese, Bubble Tea, Tea Rooms",34.1282993415744,34.1282993415744,o9k9x7Q9AnjwXA2T2tAuSw,,TEA BAR,954 E ALOSTA AVE,AZUSA
65,,,,,,,,,,,SWEET VILLAGE,4501 S ALAMEDA ST # #83,LOS ANGELES
66,Sepulveda Donuts,,45.0,4.0,$,"Donuts, Coffee & Tea, Sandwiches",33.9998845,33.9998845,q7Af45p4BOaZdCPTDuOuDw,,SEPULVEDA DONUTS,4905 S SEPULVEDA BLVD,CULVER CITY
67,Lemon Poppy Kitchen,,619.0,4.0,$$,"Cafes, Breakfast & Brunch, Coffee & Tea",34.1121895,34.1121895,0z7gwkDXQPbJaEP3QIBf1A,,LEMON POPPY KITHCEN,3324 VERDUGO RD,LOS ANGELES
68,Taqueria Zavalas,,30.0,3.0,$,Mexican,33.903144,33.903144,nFT-maHKMHCdKqdCAaWWkA,,TAQUERIA ZAVALA,518 E ROSECRANS AVE,COMPTON
69,Tammy's Bakery,,1.0,2.0,$$,Bakeries,33.9872922,33.9872922,hefmETkxYEJ9rgvIS6DA9w,,TAMMY'S CAKES,4467 SLAUSON AVE,MAYWOOD
70,Kings Louisiana Seafood,,6.0,4.0,$,Seafood,34.0110103310282,34.0110103310282,QEEDBO-Sj1uBmCJgItrMTQ,,KING LOUISIANA SEAFOOD,1541 W MLK BLVD,LOS ANGELES
71,Starbucks,,155.0,3.0,$,Coffee & Tea,34.098207,34.098207,aGMNfep4WtMi3hSu4-vXAQ,,STARBUCKS COFFEE #5402,7055 W SUNSET BLVD,LOS ANGELES
72,Morinoya,,258.0,3.5,$$,"Tapas/Small Plates, Izakaya",34.038391,34.038391,4Z5eYWjjpD3ljk1g6tlYUg,,MORINOYA,11301 W OLYMPIC BLVD STE 210,LOS ANGELES
73,Subway,,16.0,3.0,$,Sandwiches,34.2455025645143,34.2455025645143,HD_GoNUlsAHWOlMmhK3tcQ,,SUBWAY SANDWICHES,6520 FOOTHILL BLVD # 102,TUJUNGA
74,Super Tacos Culiacan,,32.0,3.5,$$,Mexican,33.9040565490723,33.9040565490723,oP_QsSvVC1qKqtwi518etw,,SUPER TACOS CULIACAN,8505 E ROSECRANS AVE STE B2,PARAMOUNT
75,Dairy Queen,,83.0,2.0,$,"Fast Food, Ice Cream & Frozen Yogurt",34.1054915140458,34.1054915140458,jCYg-ZVSJMyID8OjTAo9ig,,DAIRY QUEEN #43352,667 W ARROW HWY #B,SAN DIMAS
76,Sunset Junction Coffee Shop,,317.0,4.0,$$,Diners,34.09177,34.09177,VOc_unXEj1Doeb8vgCccZQ,,SUNSET JUNCTION COFFEE SHOP,3916 W SUNSET BLVD,LOS ANGELES
77,The Baked Potato,,271.0,4.0,$$,"Jazz & Blues, American (Traditional)",34.1366004943848,34.1366004943848,O89LOzlpGS4_U9AekLOobA,,THE BAKED POTATO,3787 CAHUENGA BLVD,STUDIO CITY
78,Canton Kitchen,,87.0,4.0,$,Chinese,33.9613154,33.9613154,WTMpdx9VYHy4p1wofgKFMQ,,CANTON KITCHEN,402 W MANCHESTER BLVD,INGLEWOOD
79,Carl's Jr,,45.0,2.5,$,American (New),33.8852742013053,33.8852742013053,CVVzdJ56Ykmd6IU6fKnpeA,,CARL'S JR #66,2210 REDONDO BEACH BLVD,TORRANCE
80,Mercado Del Pueblo,,3.0,4.0,,"Grocery, Mexican",34.07833,34.07833,JH7K1oDaAoG2lvyNyjC1lw,,EL MERCADO DEL PUEBLO MARKET - DELI,12760 E RAMONA BLVD,BALDWIN PARK
81,Hui Tou Xiang,,570.0,4.0,$,Chinese,34.1019838967022,34.1019838967022,S0WkMzdxC17YvQ5bOZQnoA,,HUI TOU XIANG NOODLE HOUSE,704 W LAS TUNAS DR STE #5,SAN GABRIEL
82,,,,,,,,,,,THE SPICY RESTAURANT,4254 1/2 W 3RD ST,LOS ANGELES
83,Matt's Fish Market,,46.0,4.0,$$,Seafood Markets,33.89673,33.89673,n0N76JkS-z6WLkoZDlKeFA,,MATT'S FISH MARKET,123 N WILMINGTON AVE,COMPTON
84,Little Ongpin-Beverly,,52.0,3.5,$,"Filipino, Chinese",34.0645701846348,34.0645701846348,7x2QSD9ikaxHwLuH6oOMbw,,LITTLE ONGPIN FAST FOOD,1700 BEVERLY BLVD,LOS ANGELES
85,Fish Grill,,292.0,4.0,$$,"Seafood, Kosher",34.0760354,34.0760354,-2AdXfCXYjLBuyFc0KFFXA,,FISH GRILL,7226 BEVERLY BLVD,LOS ANGELES
86,The Peppertree Grill,,76.0,4.0,$$,"Argentine, Lounges, Cocktail Bars",34.1615791320801,34.1615791320801,Gbhp7VMV7WJoFNeBbHTXow,,THE PEPPERTREE GRILL,322 W SIERRA MADRE BLVD,SIERRA MADRE
87,,,,,,,,,,,MAYAN RESTAURANT,1811 W 6TH ST,LOS ANGELES
88,Pressed Juicery,,84.0,4.5,$$,"Juice Bars & Smoothies, Vegan, Health Markets",33.88512583,33.88512583,oxljXYBksSOYpDArox3qmg,,PRESSED JUICERY,310 MANHATTAN BEACH BLVD,MANHATTAN BEACH
89,Pescado Dorado,,361.0,4.5,$,"Mexican, Seafood",33.9472985932173,33.9472985932173,DTFn-sTRy1y8Z7iahVdqEA,,PESCADO DORADO,11530 E TELEGRAPH RD,SANTA FE SPRINGS
90,Little Tokyo Sushi,,40.0,4.0,$,"Japanese, Sushi Bars",34.044536,34.044536,-7qgRL3jMiE3JQU-9aE0wg,,HONDA-YA LITTLE TOKYO,333 S ALAMEDA ST STE 314,LOS ANGELES
91,Jack in the Box,,20.0,1.5,$,"Fast Food, Burgers, Tacos",34.007935,34.007935,pa6WoJsbvXmSi8FmcjFAVQ,,JACK IN THE BOX,4210 S CRENSHAW BLVD,LOS ANGELES
92,Wok On The Wild Side,,355.0,3.5,$$,Chinese,33.9757972,33.9757972,GBbbu-rQgybRSNlZGU4tRQ,,WOK ON THE WILD SIDE,929 N LA BREA AVE,INGLEWOOD
93,Prado Restaurant,,469.0,4.0,$$,"Caribbean, Latin American",34.0752848173242,34.0752848173242,jOg6nYpRhW0hOF0EmF8zGw,,PRADO RESTURANT,244 N LARCHMONT BLVD,LOS ANGELES
94,Baja Fresh,,108.0,3.0,$,"Mexican, Tex-Mex, Fast Food",34.1014051,34.1014051,gnz79Oen8SX_I8opX_zMrg,,BAJA FRESH,6922 HOLLYWOOD BLVD STE #106,LOS ANGELES
95,,,,,,,,,FQE4zn6tdswoIma3GCVEhg,,HONG GALBI,3132 W OLYMPIC BLVD,LOS ANGELES
96,Samurai Sushi & Teriyaki,,360.0,3.0,$$,"Japanese, Sushi Bars",34.011116,34.011116,yGA82NgKLrCoEoQWyXh_6A,,MONTE SUSHI,137 N MONTEBELLO BLVD # C,MONTEBELLO
97,Aroma Wireless,,1.0,5.0,,Mobile Phones,34.060685,34.060685,mrPW3sh_FMNygTwGov8Xfg,,AROMA JUICE BAR,3680 WILSHIRE BLVD STE T02,LOS ANGELES
98,New World Buffet,,36.0,3.0,$,"American (New), Seafood, Barbeque",33.9822044,33.9822044,yfxSYBGbtgRCzbyW0An2xQ,,NEW WORLD BUFFET,1419 E GAGE AVE,LOS ANGELES
99,Bumblebee Donuts,,142.0,4.5,$,"Donuts, Juice Bars & Smoothies, Sandwiches",34.031825278778,34.031825278778,z2qfXr92DeA9Fx-1PPp-tQ,,BUMBLEBEE DONUTS,867 N WILCOX AVE,MONTEBELLO
100,Northgate Market,,14.0,2.0,$,"Mexican, Grocery, Bakeries",33.895408,33.895408,WY4woOa2AKQaiWAEUywShw,,NORTHGATE MARKET (BAKERY),15107 S ATLANTIC AVE,COMPTON
101,Urban Cafe III,,22.0,5.0,$,"Coffee & Tea, Breakfast & Brunch, Sandwiches",34.15714,34.15714,2jzDOv5cvbHKnTGPivIJzQ,,URBAN CAFE #3,701 N BRAND BLVD #170,GLENDALE
102,Café Stella,,915.0,3.5,$$$,"French, Cocktail Bars, Breakfast & Brunch",34.0921489105996,34.0921489105996,fZt2vAYJEEYw94P6lddtgw,,CAFE STELLA,3932 W SUNSET BLVD,LOS ANGELES
103,,,,,,,,,,,HARRYS MARKET,8751 S COMPTON AVE,LOS ANGELES
104,Popeyes Louisiana Kitchen,,106.0,2.0,$$,"Fast Food, Chicken Wings",34.2087,34.2087,gds6XdvmudbLu7BBNrj8Sg,,POPEYES CHICKEN #3318,7608 SEPULVEDA BLVD,VAN NUYS
105,Pico Glatt Mart,,38.0,4.0,$$,Grocery,34.0554049,34.0554049,DgVfpQRtR2XP3TMMIwfCCQ,,PICO GLATT KOSHER DELI,9427 W PICO BLVD,LOS ANGELES
106,Lo/Cal Coffee and Market,,263.0,4.5,$$,"Coffee & Tea, Empanadas, Sandwiches",34.0206223,34.0206223,VRm-vEYB6k0a81_nfGObJA,,LOCAL COFFEE AND MARKET,2214 PICO BLVD,SANTA MONICA
107,Kabob Corner,,87.0,2.5,$$,Indian,33.860484,33.860484,sAb1tJNlKIXv2Jp5jcj3zw,,KABOB CORNER,18738 PIONEER BLVD,ARTESIA
108,Tagine Beverly Hills,,875.0,4.0,$$$,Moroccan,34.067728,34.067728,XQjnIHXi3jFRRNfcP_9c5Q,,TAGINE BEVERLY HILLS,132 N ROBERTSON BLVD,BEVERLY HILLS
109,Bristol Farms - Westchester,,286.0,3.5,$$$,"Grocery, Specialty Food, Beer, Wine & Spirits",33.961137,33.961137,vNJ4ogEvcVMP3f0OLZP7ew,,BRISTOL FARMS #2304DELL-CAFE,8448 LINCOLN BLVD,LOS ANGELES
110,Bhanu Indian Cuisine & Market,,1163.0,4.5,$$,"Indian, International Grocery",34.1286927,34.1286927,QjjBVHsRazAbCL4d0rKVzg,,BHANU'S INDIAN GROCERY & CUS,7246 ROSEMEAD BLVD,SAN GABRIEL
111,Book Sae Tong,,56.0,4.0,$$,"Korean, Barbeque",34.05817,34.05817,wqiaRLohE7ykHpCaX6Nq2Q,,BOOK SEA TONG,755 S VERMONT AVE,LOS ANGELES
112,The Woodman,,1051.0,4.0,$$,"Pubs, Gastropubs, Sports Bars",34.148148,34.148148,eXgljPZylSRcveqDK_HNuw,,THE WOODMAN,13615 VENTURA BLVD,SHERMAN OAKS
113,Shop Calamigos,,2.0,3.5,,"Accessories, Women's Clothing",34.0918474,34.0918474,4au42mEImY6daKzSoCq1ug,,MALIBU CAFE AT CALAMIGOS RAN,327 S LATIGO CANYON RD,MALIBU
114,,,,,,,,,,,CORONA RANCH MARKET,5903 S MAIN ST,LOS ANGELES
115,Chef's Corner Pizzeria,,37.0,3.5,$,Pizza,33.732136,33.732136,WjOdpQAAcqRs2KLKtdSO7w,,CHEF'S CORNER PIZZERIA,1306 S GAFFEY ST #105,SAN PEDRO
116,Lalos Grill Restaurant,,83.0,4.0,$,Mexican,33.95296,33.95296,aXdU4o6YDSBjN4imUax52w,,LALO'S GRILL,429 W ARBOR VITAE ST,INGLEWOOD
117,Yolanda's Bakery,,28.0,4.0,$,"Bakeries, Custom Cakes, Desserts",34.200651,34.200651,76vOo6WxD1Ez6ZW0n8TuYw,,YOLANDAS BAKERY,19742 SHERMAN WAY,WINNETKA
118,Jinky's Cafe Santa Monica,,808.0,3.5,$$,"Breakfast & Brunch, American (Traditional)",34.0139618605485,34.0139618605485,Ava2tiawQAmP0OqOVC9Dnw,,JINKY'S CAFE,1447 2ND ST,SANTA MONICA
119,,,,,,,,,,,KENTUCKY FRIED CHICKEN,1789 W JEFFERSON BLVD,LOS ANGELES
120,Dona Mercedes Restaurant,,51.0,4.0,$,"Salvadoran, Mexican",34.2823867797852,34.2823867797852,ZaedyE0fgg6vDowPzfy__w,,DONA MERCEDEZ RESTAURANT,1030 SAN FERNANDO RD,SAN FERNANDO
121,,,,,,,,,,,ARELI'S MEAT MARKET,9419 S SAN PEDRO ST,LOS ANGELES
122,Juanito's Place,,59.0,4.0,$,Mexican,34.7041149,34.7041149,T5MtwqKhQnnJVuSSxIYiJA,,JUANITA'S PLACE,105 W AVENUE I,LANCASTER
123,The Original Khun Dang Thai Restaurant,,368.0,4.0,$$,"Thai, Seafood",34.2199998283288,34.2199998283288,ZPwCSUHWt8CLGUDxV6VtiA,,THE ORIGINAL KHUN DANG THAI,8210 SEPULVEDA BLVD,PANORAMA CITY
124,Winchell's Donuts,,33.0,3.0,$,"Donuts, Coffee & Tea, Sandwiches",34.0599786,34.0599786,enj_mr0F7I14bUpXYUyPSw,,WINCHELL'S DONUTS #9393,697 S HOOVER ST,LOS ANGELES
125,,,,,,,,,,,PANTRY/BEVERAGE-MARRIOTT,900 W OLYMPIC BLVD,LOS ANGELES
126,Tortilla Inn,,288.0,3.5,$$,Mexican,34.2281505157777,34.2281505157777,oxR4OnuQe8ZF1LizQDr6tA,,TORTILLA INN,18114 PARTHENIA ST,NORTHRIDGE
127,Masa Ramen,,284.0,3.5,$,Ramen,34.4216301255497,34.4216301255497,urtxiz2d5g8y6L-qEIINmA,,MASA RAMEN,27051 MC BEAN PKWY # 101,VALENCIA
128,,,,,,,,,,,HAPPY KIDS NUTRITION INC.,4705 S BROADWAY,LOS ANGELES
129,Chop Stop,,217.0,3.5,$,"Salad, Health Markets",34.0873642,34.0873642,76qilBskVsleFtTSoJpNEA,,CHOP STOP,8717 SANTA MONICA BLVD,WEST HOLLYWOOD
130,Campos Tacos,,193.0,3.5,$,Mexican,34.03772,34.03772,uZKJ-HvFB_iwxTM8AfOD2g,,CAMPOS,2639 S ROBERTSON BLVD,LOS ANGELES
131,Electric Owl,,420.0,4.0,$$,"Cocktail Bars, Burgers, American (Traditional)",34.0976460995354,34.0976460995354,ly7L13OVHcSOm1JSuFwKwg,,ELECTRIC OWL,1451 N GARDNER ST,LOS ANGELES
132,Max's Mexican Cuisine,,823.0,4.0,$$,"Mexican, Bars, Salad",34.1329791469,34.1329791469,WvKTJxcssWJkmwJZPfFS6Q,,MAX'S CUISINE,635 N AZUSA AVE,AZUSA
133,,,,,,,,,,,COURT YARD MARRIOTT - RESTAURANT,21101 VENTURA BLVD,WOODLAND HILLS
134,Mickey McColgan's,,100.0,4.0,$$,"Irish, American (New), Gastropubs",33.8603516,33.8603516,vy7rxQ180rLPc40mnI410Q,,MICKEY MCCOLGAN'S,934 HERMOSA AVE STE #1-3,HERMOSA BEACH
135,Sushi Fumi,,357.0,4.5,$$,Sushi Bars,34.07776,34.07776,m_xAjTKjvcyqd-jBs8A2VA,,SUSHI FUMI,359 N LA CIENEGA BLVD,LOS ANGELES
136,Reds,,292.0,4.5,$$,"Pizza, Italian, Chicken Wings",34.012045,34.012045,YlRRW7Rc4xbgVg3WyGSWTA,,REDS,707 PICO BLVD,SANTA MONICA
137,Osteria Mamma,,1646.0,4.0,$$,"Italian, Wine Bars",34.0833586783984,34.0833586783984,rr-hXB0ZqXLzUP97yftp0g,,OSTERIA MAMMA,5730 MELROSE AVE,LOS ANGELES
