,name,address,review_count,rating,price,categories,latitude_yelp,longitude_yelp,yelp_id,hours,program_name,facility_address,facility_city,latitude,longitude
37,Goji Tea House,,153,4,$,Bubble Tea,33.8581951,-118.0926299,M9cAguyARRhrdN33ta67xw,,GOJI TEA HOUSE,11312 SOUTH ST,CERRITOS,,
38,TJ Maxx,,33,3,$$,Department Stores,33.86732971,-118.0958506,k3gl8QYDFJ3XaLay6m8PKA,,TJ MAXX #425,11151 183RD ST,CERRITOS,,
39,Burger King,,27,2.5,$,"Burgers, Fast Food",34.2012056,-118.5952513,wcRAeKVXCVRI9F4pfj38dg,,BURGER KING #1036,21227 SHERMAN WAY,CANOGA PARK,,
40,,,,,,,,,,,AFC SUSHI @ RAPLHS #0120,1413 HAWTHORNE BLVD,REDONDO BEACH,,
41,Las Salsas Mexican Grill,,8,4,,"Mexican, Buffets",33.77734,-118.26184,GcRxyTIdiE4J3XWQ_Lt7-Q,,LAS SALSAS MEXICAN GRILL,600 N AVALON BLVD # C,WILMINGTON,,
42,Smart & Final Extra!,,24,3.5,,Grocery,34.13386,-117.90456,gCXxmoma-13vkS5mR1oOLg,,SMART & FINAL #794 - MEAT DEPT,303 E FOOTHILL BLVD,AZUSA,,
43,Shell,,7,1.5,,Gas Stations,34.00620385,-118.1096836,reCOE48o7kJrbIorKDsVLg,,SHELL #1,801 W OLYMPIC BLVD,MONTEBELLO,,
44,Pollo Campero,,38,2.5,$,"Chicken Wings, Latin American, Fast Food",34.05648,-118.27762,zhSRmaq2S9S7DGOb1AMUHQ,,POLLO CAMPERO,2116 W 7TH ST,LOS ANGELES,,
45,,,,,,,,,,,FAMILY NUTRITION CENTER,423 N MEDNIK AVE,LOS ANGELES,,
46,The Highlight Room Grill,,268,4,$$,American (New),34.10016,-118.33014,XT5o_SKmmpIGvwDKYZw5tg,,DREAM HOTEL - THE HIGHLIGHT ROOM GRILL,6417 SELMA AVE,LOS ANGELES,,
47,La Diosa Cocina & Craft Bar,,296,4.5,$$,Mexican,33.90396347,-118.1532772,O5NdYe2CVI_uu6FzYlg-hg,,LA DIOSA DE LOS MOLES,8335 ROSECRANS AVE,PARAMOUNT,,
48,,,,,,,,,,,ARCOIRIS 98 CENTS,3011 WABASH AVE,LOS ANGELES,,
49,The Backhouse,,906,4,$$,"Sushi Bars, Japanese, Bars",34.03962,-118.4302,zC1iJsl9VlIaRnEBm9yDKQ,,THE BACKHOUSE RESTAURANT,10915 W PICO BLVD,LOS ANGELES,,
50,The Local Pub & Grill,,661,4.5,$$,"Sports Bars, American (Traditional), Breakfast & Brunch",34.40965805,-118.5785322,t7CakyTux_3QtutqJKJbow,,THE LOCAL PUB & GRILL,26876 THE OLD RD,STEVENSON RANCH,,
51,iTech Pizza,,315,4.5,$,"Pizza, Chicken Wings, Pasta Shops",34.030778,-118.124793,5-VeatO1qBhlPA3QA5A4DA,,ITECH PIZZA,2575 VIA CAMPO BLVD,MONTEBELLO,,
52,Birrieria Baldomero No 3,,30,4.5,,"Mexican, Soup",33.96676185,-118.1563292,u8a40m3bgRcdptEMczrBPw,,BIRRIERIA BALDOMERO #3,6040 1/2 FLORENCE AVE,BELL GARDENS,,
53,The Coffee Bean & Tea Leaf,,16,4.5,,Coffee & Tea,33.94613,-118.39268,f2qG3QsALcu1mrI_n_ZO0g,,THE COFFEE BEAN & TEA LEAF,6151 W CENTURY BLVD,LOS ANGELES,,
54,Grocery Outlet Bargain Market,,59,3.5,$,"Grocery, Discount Store",34.12958,-118.07249,ej7895XYF0VnIdYSrFNSZg,,GROCERY OUTLET OF SAN GABRIEL,7260 ROSEMEAD BLVD,SAN GABRIEL,,
55,Eataly Los Angeles,,2141,3.5,$$,"Specialty Food, Italian, Food Court",34.059609,-118.419437,2cNmmr9yzdnNPppwExt9SQ,,EATALY - 3RD FL STREET FOODS AND FISH,10250 SANTA MONICA BLVD STE 2705,LOS ANGELES,,
56,Lollicup Fresh,,52,3.5,$,"Coffee & Tea, Juice Bars & Smoothies, Bubble Tea",34.06012202,-118.4452246,z-PcXAnQVVEampVDhGQGKg,,LOLLICUP,1131 WESTWOOD BLVD,LOS ANGELES,,
57,Eataly Los Angeles,,2141,3.5,$$,"Specialty Food, Italian, Food Court",34.059609,-118.419437,2cNmmr9yzdnNPppwExt9SQ,,"EATALY - 3RD FL SAFO, ROTI, SALAD, PALA",10250 SANTA MONICA BLVD STE 2705,LOS ANGELES,,
58,Fish Pepper Restaurant,,117,4,$,"Seafood, Mexican",33.9278107,-118.1978149,C8NMYU2qY9ae_5YfRTFuBQ,,FISH PEPPER RESTAURANT,3837 MARTIN LUTHER KING JR BLVD,LYNWOOD,,
59,Jimmy John's,,99,3,$,"Sandwiches, Fast Food, Delis",33.9025935,-118.3713552,Wzg7eeEKGmlVMfLF-bcVwg,,JIMMY JOHNS STORE 3839,5227 W ROSECRANS AVE,HAWTHORNE,,
60,Scorpion,,42,3.5,,"Web Design, Marketing, Videographers",34.42178,-118.58681,w8xgsFxmzhuXSmdVauKTxw,,SCORPION EMPLOYEE CAFETERIA,27750 ENTERTAINMENT DR,VALENCIA,,
61,The Stalking Horse Brewery & Freehouse,,317,4,$$,"Breweries, Breakfast & Brunch, Cocktail Bars",34.04471,-118.42041,olom_vkNVhqxD4W9BkiUAw,,STALKING HORSE,10543 W PICO BLVD,LOS ANGELES,,
62,Wetzel's Pretzels,,32,2.5,$,Pretzels,33.86080472,-118.0922571,JWZfJ6T8FwZiXvepjZbs0w,,WETZEL'S PRETZELS,239 LOS CERRITOS MALL KIOS 9030,CERRITOS,,
63,Miss Donuts and Bagels,,226,4.5,$,"Donuts, Bagels, Breakfast & Brunch",34.1014604,-117.7700999,pNa_I4EUT1yGUYmFHNof1A,,MISS DONUTS,2082 BONITA AVE,LA VERNE,,
64,Quest Yes Food,,49,4,$$,"Taiwanese, Chinese, Soup",33.87269,-118.07742,2RoI0C-zuhTEsmbHlnWWSQ,,QUEST YES,11976 ARTESIA BLVD,ARTESIA,,
65,Reborn Coffee - La Crescenta,,172,4.5,,Coffee Roasteries,34.237665,-118.261091,xlyvoK-czYBe7N3nK9z6IQ,,REBORN CAFE,3747 FOOTHILL BLVD,GLENDALE,,
66,La Chuperia,,172,4,$,"Bars, Mexican",34.05959763,-118.1860545,eqTKWLekpdMucy_nBzNYhg,,LA CHUPERIA 2.0,3702 MEDFORD ST,LOS ANGELES,,
67,Ocha Classic Restaurant,,106,4,$$,Thai,34.10153468,-118.3063054,29EIWSCJCUjUMdeRh7bUUw,,OCHA THAI RESTAURANT,5310 HOLLYWOOD BLVD,LOS ANGELES,,
68,Tom's Jr,,65,3,$,"Burgers, Fast Food",33.98906,-118.24754,eY63E5AIZj7HV5cPM8G5ng,,TOM'S JR BURGERS #4,1500 E SLAUSON AVE,LOS ANGELES,,
69,,,,,,,,,,,WATTS STAR MINI MARKET,11228 S WILMINGTON AVE,LOS ANGELES,,
70,,,,,,,,,r67rAULENQfNDM82xYR0gg,,THE OASIS CAFE,375 VAN NESS AVE,TORRANCE,,
71,Bella's Bakery,,7,4,$,"Bakeries, Cupcakes, Custom Cakes",34.0108764,-118.1080858,OEti8fIVgqOhk4LgjYo9WQ,,BELLA'S BAKERY,125 N MONTEBELLO BLVD STE A,MONTEBELLO,,
72,,,,,,,,,,,P & J MARKET,1479 E 22ND ST,LOS ANGELES,,
73,Auntie Anne's Soft Pretzel,,12,3.5,$,Pretzels,34.0107472,-118.3362908,C2vaZbsfe0_exZjzKji4RQ,,AUNTIE ANNE'S PRETZEL,3650 W MARTIN LUTHER KING JR. BLVD # K-1A,LOS ANGELES,,
74,GNC,,14,3,$$$,"Health Markets, Vitamins & Supplements",34.1401051,-118.010923,Xenbl_wnKOgDaCVdOrxVKw,,GNC,514 W HUNTINGTON DR,MONROVIA,,
75,Chianti Trattoria & Pizzeria,,39,4.5,$$,"Italian, Pizza",34.14288,-118.75708,u0AdMwGaQMMjeljR26yFDg,,CHIANTI TRATTORIA & PIZZERIA,29020 AGOURA RD # A10,AGOURA HILLS,,
76,A & W Seafood Restaurant,,536,3,$$,"Seafood, Dim Sum",34.23934,-118.53562,EFtTmbbUcZ2BIz6kEh9Nbw,,A & W SEAFOOD RESTAURANT,9306 RESEDA BLVD,NORTHRIDGE,,
77,Kogiya 2 Korean BBQ,,120,3,$$,"Barbeque, Korean",34.37861277,-118.542784,XDlT2ybzPPDt9kdb4MhPYA,,KOGIYA 2,23410 LYONS AVE,SANTA CLARITA,,
78,Hometown Seafood Restaurant,,1,2,$$,"Seafood, Chinese, Barbeque",34.1246932,-118.0598927,vbcZa3r_cZVFPRDIMDL0zQ,,HOMETOWN SEAFOOD RESTRAURANT,1228 S GOLDEN WEST AVE,ARCADIA,,
79,K. Minamoto,,34,4.5,$$$,"Desserts, Chocolatiers & Shops",34.0599599,-118.41982,oLtXgp0JawyA9giS0G3saQ,,USA K MINAMOTO,10250 SANTA MONICA BLVD # 2650,LOS ANGELES,,
80,Wienerschnitzel,,14,1.5,$,"Hot Dogs, Fast Food, Sandwiches",33.93705689,-118.0423176,9MrkZ-C9AbRzbDHyzYFn0A,,WIENERSCHNITZEL #831,13543 FLORENCE AVE,WHITTIER,,
81,Donas,,482,3.5,$$,Donuts,33.9182131,-118.1412201,DiO4pzIFAswbgzhtoHzQVQ,,DONAS,8636 IMPERIAL HWY,DOWNEY,,
82,,,,,,,,,,,GRILL GUYS,1233 W RANCHO VISTA BLVD STE 829,PALMDALE,,
83,Clay PoQ,,48,4,$$,"Chinese, Taiwanese, Asian Fusion",33.98733586,-117.9066159,LFxMrB7Yk7EY8prNAxPLkQ,,CLAY POT,1745 FULLERTON RD,ROWLAND HEIGHTS,,
84,Dirdawa Cafe,,49,3.5,$$,"Ethiopian, Mediterranean",33.9609771,-118.3758925,gcI5QSFr9kPUT6sSEXENtA,,EQUELECUA CAFE,1120 W FLORENCE AVE STE C,INGLEWOOD,,
85,,,,,,,,,,,JAMAICANONTHEGO@GMAIL.COM,4716 W SLAUSON AVE,LOS ANGELES,,
86,Felix Super Market,,1,3,,International Grocery,34.011537,-117.885312,x5IVULDG6KhWbVJlFSC6kQ,,FELIX SUPERMARKET - SEAFOOD,3650 S NOGALES ST,WEST COVINA,,
87,Davenport's Restaurant,,721,4.5,$$$,"Seafood, Steakhouses, Cocktail Bars",34.1563218,-118.4844206,NZCyNH6EKmvcrcbIIfk4vA,,DAVENPORT'S,16120 VENTURA BLVD,ENCINO,,
88,Menchie's Frozen Yogurt,,82,3.5,$,"Ice Cream & Frozen Yogurt, Custom Cakes",34.155158,-118.64295,1SKDDDnOsPVXq7vHWxyUgA,,MENCHIE'S CALABASAS,4776 COMMONS WAY UNIT D,CALABASAS,,
89,Rose Market West,,5,4,$$,Grocery,34.044159,-118.454361,zRv9eozofveyAirt0I7eng,,ROSE MARKET,11628 SANTA MONICA BLVD # 5,LOS ANGELES,,
90,,,,,,,,,,,AZUCAR,425 W FOOTHILL BLVD STE B,GLENDORA,,
91,Cultured Slice,,40,5,$$,Cheese Shops,33.85688,-118.39106,49CUzXaEtkLe2lFX6f1c8A,,CULTURED SLICE,229 PACIFIC COAST HWY,HERMOSA BEACH,,
92,Neighbor,,385,4,$$$,"Cocktail Bars, American (New), Breakfast & Brunch",33.99213,-118.47149,ni2KJCj0NwYetbJ36X-hQg,,NEIGHBOR LA,1031 ABBOT KINNEY BLVD,VENICE,,
93,Chio's Peruvian Grill,,290,4,$$,Peruvian,34.1996715,-118.4487824,qYR5rkNKOzCK4JXmFU6qvQ,,CHIO'S PERUVIAN GRILL,7115 VAN NUYS BLVD,VAN NUYS,,
94,Ensenada Kitchen,,68,4,$,Mexican,34.18483503,-118.3592071,AsBgWH0t3o-ZJlAU8Gq6dQ,,ENSENADA KITCHEN,4412 W VICTORY BLVD,BURBANK,,
95,Baskin-Robbins,,67,3,$,"Ice Cream & Frozen Yogurt, Desserts, Custom Cakes",33.822058,-118.327307,8lU2H5u78-6mhXH7JVaoXw,,BASKIN ROBBINS,2455 SEPULVEDA BLVD STE B,TORRANCE,,
96,Gugu's Tacos,,30,3.5,$,Mexican,34.19404723,-118.4668439,CEzTO_-ybnUEydMxxoKfqQ,,TACOS MICHOACAN,15317 VANOWEN ST # A,VAN NUYS,,
97,,,,,,,,,,,ROYCE,400 S BALDWIN AVE # 9016,ARCADIA,,
98,Ralphs,,79,3,$$,Grocery,34.170254,-118.570297,BU7VLjmV59-4i84ouiz16g,,AFC SUSHI @ RALPHS #0070,20060 VENTURA BLVD,WOODLAND HILLS,,
99,Palace Cafe,,3,2,,Cafes,34.1380666,-118.3532259,URHHxalloIIZUw7iqx4rxw,,PALACE CAFE,100 UNIVERSAL CITY PLZ,UNIVERSAL CITY,,
100,Skyline Pool at the Everly,,2,3.5,,Swimming Pools,34.10394,-118.3248,B9NttMxyRx-UFamf5kKYSg,,THE EVERLY-5TH FLOOR KITCHEN AND PANTRY,1800 N ARGYLE AVE,LOS ANGELES,,
101,California Ramen Factory,,340,4,$$,"Ramen, Noodles",34.068876,-118.300936,3VlKf0Z55eiPwl764_dVjA,,CALIFORNIA RAMEN FACTORY,4010 W 3RD ST,LOS ANGELES,,
102,,,,,,,,,,,VILLAMAR MARKET,6200 compton AVE,LOS ANGELES,,
103,Thai Daily BBQ,,163,4,$,"Thai, Barbeque",34.0403724,-118.187652,B279bvhbpOzOLyA2KHYmCA,,THAI DAILY BBQ,3552 E CESAR E. CHAVEZ AVE,LOS ANGELES,,
104,Tacos Mexico,,10,2.5,$,Mexican,33.95099815,-118.2176301,PxDnozQQfb2s2ILl9IWwMA,,JAVIER TACO MEXICO LLC,9322 LONG BEACH BLVD,SOUTH GATE,,
105,Cake Bash Studio,,125,4.5,,"Bakeries, Desserts, Custom Cakes",34.19359,-118.50927,DGmzi9yc1VU6uaGlYLLcDQ,,CAKE BASH STUDIO,17246 VANOWEN ST,VAN NUYS,,
106,Dirty South Soul Food,,224,4,$$,"Southern, Soul Food, Buffets",33.90369,-118.32616,CYM8TPl1gGqqie-FehgppQ,,DIRTY SOUTH SOUL FOOD BUFFET,14100 CRENSHAW BLVD,GARDENA,,
107,BIBIBOP Asian Grill,,176,4,$$,"Korean, Asian Fusion, Salad",34.015691,-118.495861,9pclAS6YxsxsWCG6Rkj3lA,,BIBIBOP ASIAN GRILL,1401 3RD ST PROMENADE,SANTA MONICA,,
108,Domino's Pizza,,37,2,$,Pizza,34.03426,-118.21623,EeS5KsJsNdJlUPbBWLeIgQ,,DOMINO'S PIZZA,2324 WHITTIER BLVD,LOS ANGELES,,
109,Hawaii Supermarket,,280,3,$$,"Grocery, Beer, Wine & Spirits",34.07915,-118.09888,orbkE6lAhtVypzPw9a4vfw,,HAWAII SUPERMARKET - MEAT MARKET,120 E VALLEY BLVD,SAN GABRIEL,,
110,El Cariso Golf Course Starter Shop,,1,1,,Golf,34.31496811,-118.4146271,qXzDjsUvNAfH54oZlhoAXQ,,EL CARISO GOLF COURSE - RESTAURANT,13100 ELDRIGE AVE,SYLMAR,,
111,Hummus Republic,,166,4.5,$$,"Mediterranean, Vegetarian",34.072591,-118.370769,EogEmrNVM2cedKSqHzosrA,,HUMMUS REPUBLIC,8320 W 3RD ST,LOS ANGELES,,
112,8oz Poke,,186,4.5,$$,"Poke, Hawaiian",34.1411219,-118.3756707,N70bv3Mi4xdSdleJgjQZTA,,8OZ POKE,11273 VENTURA BLVD,STUDIO CITY,,
113,Hop Woo,,407,3,$$,"Cantonese, Szechuan, Dim Sum",34.039667,-118.43808,5xQLCkZlFroGvytK8YGhvQ,,HOP WOO,11110 W OLYMPIC BLVD,LOS ANGELES,,
114,Crab Mentality,,214,4,$$,Seafood,34.415992,-118.4741998,_n_Ygjx98QD9PK8VVPaW6w,,CRAB MENTALITY,19385 SOLEDAD CANYON RD,SANTA CLARITA,,
115,Koupa Cafe,,42,5,$,"Greek, Coffee & Tea, Sandwiches",33.8997929,-118.0292849,p4gvFD_YBgLMUY3cye-qbQ,,KOUPA,14565 VALLEY VIEW AVE # J,SANTA FE SPRINGS,,
116,XO on Beverly,,48,4.5,$$,"American (New), Pan Asian",34.07641,-118.35298,S03imuaSCxHx7j_gXwVSPw,,XO BEVERLY,7475 BEVERLY BLVD,LOS ANGELES,,
117,East Garden Restaurant,,177,4,$$,"Hong Kong Style Cafe, Chinese, Asian Fusion",34.061763,-118.239587,P35lIoabQQm-c2QFJPhykg,,EAST GARDEN,750 N HILL ST STE F,LOS ANGELES,,
118,Mini Mercadito in E.L.A.,,3,3.5,,Imported Food,34.03731,-118.1937,An3zsihuDSZSUUa6CQnbqw,,MINI MERCADITO IN E.L.A. #2,3425 E 1ST ST STE 116,LOS ANGELES,,
119,Guatemalteca Bakery & Restaurant,,48,4,$$,"Bakeries, Latin American",33.99221,-118.1836,Te302ycaEsmrGS8fmUEE4A,,GUATEMALTECA BAKERY,5250 ATLANTIC BLVD,MAYWOOD,,
120,Studio Movie Grill,,404,3.5,$$,"Cinema, American (Traditional)",34.14752,-118.00008,iMc2ZEtpkr8fKueOe4Caxw,,STUDIO MOVIE GRILL- KITCHEN,410 S MYRTLE AVE,MONROVIA,,
121,Dominique Ansel Bakery,,729,3.5,$$,Bakeries,34.07214457,-118.357401,dB5yGLYOq-FSIixuHtQQCg,,DOMINIQUE ANSEL-BAKERY,189 THE GROVE DR # H-10,LOS ANGELES,,
122,Tierra Mia Coffee,,242,4,$,Coffee & Tea,34.01896141,-118.1133716,_3PTM3i7Okhp-LteC2synw,,TIERRA MIA COFFEE COMPANY,1416 W BEVERLY BLVD,MONTEBELLO,,
123,Yum Yum Donuts,,17,2,$,"Donuts, Coffee & Tea, Sandwiches",34.04303,-117.94974,5PB_wUGxUbrN3G6IEUVR4g,,YUM YUM DONUTS FRANCHISE #9026F,1225 N HACIENDA BLVD,LA PUENTE,,
124,Eataly Los Angeles,,2141,3.5,$$,"Specialty Food, Italian, Food Court",34.059609,-118.419437,2cNmmr9yzdnNPppwExt9SQ,,"EATALY -  BOH, MEAT & SEAFOOD",10250 SANTA MONICA BLVD STE 2705,LOS ANGELES,,
125,Blue Bottle Coffee,,83,4.5,$$,Coffee & Tea,34.076125,-118.383536,CQUzCT7XKX03P1faoQYa9g,,BLUE BOTTLE COFFEE,116 N ROBERTSON BLVD,LOS ANGELES,,
126,Sunmerry Bakery | Happy Lemon,,314,4,$,"Coffee & Tea, Bakeries, Bubble Tea",34.06828,-118.13367,0Q_0eYnAGaoNLogUl2EiSg,,SUNMERRY BAKERY,500 N ATLANTIC BLVD # 112,MONTEREY PARK,,
127,BBQ & Shabu Legend,,170,3,$$,"Japanese, Chinese, Asian Fusion",34.1337614,-118.0523229,XZVzJbst-0Lf0aIFBMAR4w,,SHABU SHABU AND GRILL LEGEND,400 S BALDWIN AVE STE 2315,ARCADIA,,
128,Pho Mai,,25,4,$,Vietnamese,34.115994,-118.073058,fMdKQ07n_n3Tfbuhdt0ElQ,,PHO MAI,6420 ROSEMEAD BLVD,TEMPLE CITY,,
129,Greenleaf Gourmet Chopshop,,133,3.5,$$,"American (New), Breakfast & Brunch, Salad",34.153654,-118.646674,EuMDrPsh-AkSixLQWkOrSg,,GREENLEAF,4799 COMMONS WAY # J,CALABASAS,,
130,Burger Basket,,106,4,$,"Burgers, Breakfast & Brunch, Mexican",33.908723,-118.074019,miMRDBuxJ1Rv-lNIhVfu9g,,BURGER BASKET,12155 FIRESTONE BLVD,NORWALK,,
131,Chop Stop,,141,4.5,$$,Salad,34.4207482,-118.5629649,z4lamthIZkki8waK4HuKOw,,CHOP STOP VALENCIA,27015 MCBEAN PKWY,VALENCIA,,
132,honeyfish poke,,262,3.5,$$,"Sushi Bars, Poke, Ramen",34.2014162,-118.4488857,XzmA3JBIj6l20QibB78U7w,,HONEY FISH POKE,7205 VAN NUYS BLVD,VAN NUYS,,
133,,,,,,,,,,,LA NORIA RESTAURANT,229 E FOOTHILL BLVD,MONROVIA,,
134,Christy's Donuts,,3,5,$,Donuts,33.9720001,-118.3571014,iXqckMTpramIc_CsrHaQ1w,,CHRISTY'S DONUTS,710 N LA BREA AVE,INGLEWOOD,,
